DIRECCIONAMIENTO MQTT OBSERVATORIO AURA LSST 2020 - 2021 -2023;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
PISO;TABLERO;VARIABLE INTERNA SISTEMA;TOPIC MQTT;PUBLICACION;SUSCRIPCION;SIGNAL;READ / WRITE;SIGNAL RANGE ;LIMITES;UNIT;ESTADO ACTUAL;OBSERVACIONES (0) CORRECIONES;;
PISO 1;CHILLER N°1;Current_Temp_Set;LSST/PISO01/CHILLER_01/SETPOINT_ACTIVO;.;;ANALOG VALUE;READ ;22;-10°C a 10°C;°C;OK;;;
;;Ain_Out_Temp_Cond;LSST/PISO01/CHILLER_01/TEMPERATURA_AGUA_RETORNO_EVAPORADOR;.;;ANALOG INPUT;READ ;22;-10°C a 10°C;°C;OK;;;
;;Ain_In_Temp_Rec;LSST/PISO01/CHILLER_01/TEMPERATURA_AGUA_IMPULSION_EVAPORADOR;.;;ANALOG INPUT;READ ;22;-10°C a 10°C;°C;OK;;;
;;Ain_Low_Press_Circ1;LSST/PISO01/CHILLER_01/PRESION_BAJA_CTO1;.;;ANALOG INPUT;READ ;22;0 bar a 5 bar;bar;OK;;;
;;Ain_Low_Press_Circ2;LSST/PISO01/CHILLER_01/PRESION_BAJA_CTO2;.;;ANALOG INPUT;READ ;22;0 bar a 5 bar;bar;OK;;;
;;I036 (POTENCIA DISPONIBLE CHILLER);LSST/PISO01/CHILLER_01/POTENCIA_DISPONIBLE_CHILLER;.;;ANALOG VALUE;READ ;22;0% a 100%;%;OK;;;
;;I035 (% POTENCIA DE TRABAJO);LSST/PISO01/CHILLER_01/%_POTENCIA_TRABAJO;.;;ANALOG VALUE;READ ;22;0% a 100%;%;OK;;;
;;MODO_OPERACION;LSST/PISO01/CHILLER_01/MODO_OPERACION;.;;ANALOG VALUE;READ ;22;0 a 16;-;OK;;;
;;ESTADO_UNIDAD;LSST/PISO01/CHILLER_01/ESTADO_UNIDAD;.;;ANALOG VALUE;READ ;22;0 a 10;-;OK;;;
;;HORAS_COMP_PROMEDIO;LSST/PISO01/CHILLER_01/HORAS_COMPRESOR_PROMEDIO;.;;ANALOG VALUE;READ ;22;0 a 100000 hr;hr;OK;;;
;;HORAS_COMP_01;LSST/PISO01/CHILLER_01/HORAS_COMPRESOR_01;.;;ANALOG VALUE;READ ;22;0 a 100000 hr;hr;OK;;;
;;HORAS_COMP_02;LSST/PISO01/CHILLER_01/HORAS_COMPRESOR_02;.;;ANALOG VALUE;READ ;22;0 a 100000 hr;hr;OK;;;
;;HORAS_COMP_03;LSST/PISO01/CHILLER_01/HORAS_COMPRESOR_03;.;;ANALOG VALUE;READ ;22;0 a 100000 hr;hr;OK;;;
;;HORAS_COMP_04;LSST/PISO01/CHILLER_01/HORAS_COMPRESOR_04;.;;ANALOG VALUE;READ ;22;0 a 100000 hr;hr;OK;;;
;;STATUS_COMP_01;LSST/PISO01/CHILLER_01/COMPRESOR_01_FUNCIONANDO;.;;BINARY INPUT;READ ;TRUE (O) FALSE;true o false;-;OK;;;
;;STATUS_COMP_02;LSST/PISO01/CHILLER_01/COMPRESOR_02_FUNCIONANDO;.;;BINARY INPUT;READ ;TRUE (O) FALSE;true o false;-;OK;;;
;;STATUS_COMP_03;LSST/PISO01/CHILLER_01/COMPRESOR_03_FUNCIONANDO;.;;BINARY INPUT;READ ;TRUE (O) FALSE;true o false;-;OK;;;
;;STATUS_COMP_04;LSST/PISO01/CHILLER_01/COMPRESOR_04_FUNCIONANDO;.;;BINARY INPUT;READ ;TRUE (O) FALSE;true o false;-;OK;;;
;;ALARMA_COMPRESOR_01;LSST/PISO01/CHILLER_01/COMPRESOR_01_ALARMADO;.;;PRESENT VALUE;READ ;TRUE (O) FALSE;true o false;-;OK;;;
;;ALARMA_COMPRESOR_02;LSST/PISO01/CHILLER_01/COMPRESOR_02_ALARMADO;.;;PRESENT VALUE;READ ;TRUE (O) FALSE;true o false;-;OK;;;
;;ALARMA_COMPRESOR_03;LSST/PISO01/CHILLER_01/COMPRESOR_03_ALARMADO;.;;PRESENT VALUE;READ ;TRUE (O) FALSE;true o false;-;OK;;;
;;ALARMA_COMPRESOR_04;LSST/PISO01/CHILLER_01/COMPRESOR_04_ALARMADO;.;;PRESENT VALUE;READ ;TRUE (O) FALSE;true o false;-;OK;;;
;;ALARMA_GENERAL;LSST/PISO01/CHILLER_01/ALARMA_GENERAL;.;;PRESENT VALUE;READ ;TRUE (O) FALSE;true o false;-;OK;;;
;;COMANDO_ENCENDIDO;LSST/PISO01/CHILLER_01/COMANDO_ENCENDIDO;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;true o false;-;OK;;;
;;Current_Temp_Set_LSST;LSST/PISO01/CHILLER_01/SETPOINT_ACTIVO_LSST;;.;ANALOG OUTPUT;WRITE;22;-1;°C;EN PROCESO 2 ETAPA;;;
;;PP_CHILLER_01_LSST;LSST/PISO01/CHILLER_01/COMANDO_ENCENDIDO_LSST;;.;BINARY OUTPUT;WRITE;TRUE (O) FALSE;0/1;-;EN PROCESO 2 ETAPA;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
PISO 1;CHILLER N°2;Current_Temp_Set;LSST/PISO01/CHILLER_02/SETPOINT_ACTIVO;.;;ANALOG VALUE;READ ;22;-10°C a 10°C;°C;OK;;;
;;Ain_Out_Temp_Cond;LSST/PISO01/CHILLER_02/TEMPERATURA_AGUA_RETORNO_EVAPORADOR;.;;ANALOG INPUT;READ ;22;-10°C a 10°C;°C;OK;;;
;;Ain_In_Temp_Rec;LSST/PISO01/CHILLER_02/TEMPERATURA_AGUA_IMPULSION_EVAPORADOR;.;;ANALOG INPUT;READ ;22;-10°C a 10°C;°C;OK;;;
;;Ain_Low_Press_Circ1;LSST/PISO01/CHILLER_02/PRESION_BAJA_CTO1;.;;ANALOG INPUT;READ ;22;0 bar a 5 bar;bar;OK;;;
;;Ain_Low_Press_Circ2;LSST/PISO01/CHILLER_02/PRESION_BAJA_CTO2;.;;ANALOG INPUT;READ ;22;0 bar a 5 bar;bar;OK;;;
;;I036 (POTENCIA DISPONIBLE CHILLER);LSST/PISO01/CHILLER_02/POTENCIA_DISPONIBLE_CHILLER;.;;ANALOG VALUE;READ ;22;0% a 100%;%;OK;;;
;;I035 (% POTENCIA DE TRABAJO);LSST/PISO01/CHILLER_02/%_POTENCIA_TRABAJO;.;;ANALOG VALUE;READ ;22;0% a 100%;%;OK;;;
;;MODO_OPERACION;LSST/PISO01/CHILLER_02/MODO_OPERACION;.;;ANALOG VALUE;READ ;22;0 a 16;-;OK;;;
;;ESTADO_UNIDAD;LSST/PISO01/CHILLER_02/ESTADO_UNIDAD;.;;ANALOG VALUE;READ ;22;0 a 10;-;OK;;;
;;HORAS_COMP_PROMEDIO;LSST/PISO01/CHILLER_02/HORAS_COMPRESOR_PROMEDIO;.;;ANALOG VALUE;READ ;22;0 a 100000 hr;hr;OK;;;
;;HORAS_COMP_01;LSST/PISO01/CHILLER_02/HORAS_COMPRESOR_01;.;;ANALOG VALUE;READ ;22;0 a 100000 hr;hr;OK;;;
;;HORAS_COMP_02;LSST/PISO01/CHILLER_02/HORAS_COMPRESOR_02;.;;ANALOG VALUE;READ ;22;0 a 100000 hr;hr;OK;;;
;;HORAS_COMP_03;LSST/PISO01/CHILLER_02/HORAS_COMPRESOR_03;.;;ANALOG VALUE;READ ;22;0 a 100000 hr;hr;OK;;;
;;HORAS_COMP_04;LSST/PISO01/CHILLER_02/HORAS_COMPRESOR_04;.;;ANALOG VALUE;READ ;22;0 a 100000 hr;hr;OK;;;
